date,code,open,high,low,close,change,volume
2026/06/29,2368,1190,1205,1145,1155,-35,5167061
2026/06/29,2383,5255,5450,5255,5450,195,953667
2026/06/29,6770,79.9,82.3,77.6,78.9,0.6,220163758
2026/06/29,TX,44799,45637,44373,45550,1098,73327
2026/06/30,2308,2010,2030,1950,1950,45,14370927
2026/06/30,2330,2440,2475,2410,2410,40,49540227
2026/06/30,2368,1205,1235,1185,1200,45,5372923
2026/06/30,2383,5375,5440,5255,5390,-60,1198968
2026/06/30,6770,79.9,80.4,77.8,79.7,0.8,197058093
2026/06/30,TX,46100,46883,45922,46730,1174,65773
2026/07/01,2308,2020,2020,1965,1990,40,8753015
2026/07/01,2330,2495,2505,2475,2505,95,37544470
2026/07/01,2368,1245,1245,1185,1220,20,4405709
2026/07/01,2383,5475,5670,5300,5535,145,989642
2026/07/01,6770,80.2,80.5,72.7,74.3,-5.4,264774867
2026/07/01,TX,47516,47695,46895,47231,452,58097
2026/07/02,2308,1955,2010,1920,1970,-20,6939618
2026/07/02,2330,2450,2480,2445,2465,-40,35919290
2026/07/02,2368,1185,1280,1150,1235,15,5408627
2026/07/02,2383,5440,5750,5390,5655,120,983037
2026/07/02,6770,70.4,75.8,70.3,74.7,0.4,155504558
2026/07/02,TX,46200,46987,45780,46599,-622,66083
2026/07/03,2308,1920,2075,1885,2075,105,15207642
2026/07/03,2330,2415,2465,2415,2445,-20,32905868
2026/07/03,2368,1210,1305,1195,1305,70,5700146
2026/07/03,2383,5535,6080,5530,6080,425,3177228
2026/07/03,6770,73.3,75.1,72.1,73.4,-1.3,101737426
2026/07/03,TX,45700,47084,45608,46966,360,58841
2026/07/06,2308,2120,2135,1995,1995,-80,9220091
2026/07/06,2330,2465,2500,2455,2460,15,21041918
2026/07/06,2368,1335,1335,1190,1225,-80,5477325
2026/07/06,2383,6225,6250,5475,5475,-605,3511893
2026/07/06,6770,74.2,77.4,72.5,72.6,-0.8,153798168
2026/07/06,TX,47280,47547,46581,46886,-114,59366
2026/07/07,2308,2015,2025,1890,1890,-105,9212478
2026/07/07,2330,2480,2500,2440,2440,-20,31400854
2026/07/07,2368,1220,1220,1130,1135,-90,5240357
2026/07/07,2383,5475,5550,5200,5220,-255,4028186
2026/07/07,6770,73,74.3,69.7,70.1,-2.5,161281480
2026/07/07,TX,47000,47187,45599,45775,-1099,86627
2026/07/08,2308,1925,1950,1840,1885,-5,13043190
2026/07/08,2330,2445,2465,2420,2465,25,25519599
2026/07/08,2368,1150,1180,1110,1150,15,3923915
2026/07/08,2383,5350,5555,5250,5315,95,2642600
2026/07/08,6770,70.8,71.5,67.1,71.2,1.1,139718171
2026/07/08,TX,45606,45960,45240,45564,-131,75442
2026/07/09,2308,1890,1935,1870,1880,-5,8337141
2026/07/09,2330,2450,2460,2415,2415,-50,34681018
2026/07/09,2368,1125,1140,1065,1075,-75,8061580
2026/07/09,2383,5315,5500,5270,5295,-20,1991369
2026/07/09,6770,71.5,74.3,70.9,71.1,-0.1,156986667
2026/07/09,TX,46008,46158,45331,45678,115,73407
2026/07/13,2308,1970,1980,1885,1890,10,9299583
2026/07/13,2330,2460,2480,2440,2440,25,35310380
2026/07/13,2368,1085,1105,1040,1045,-30,4210045
2026/07/13,2383,5380,5390,5055,5125,-170,1879346
2026/07/13,6770,72.4,73,68.1,69,-2.1,117782988
2026/07/13,TX,46222,46378,45251,45617,-31,115784
2026/07/14,2308,1900,1905,1780,1855,-35,10864234
2026/07/14,2330,2410,2430,2390,2420,-20,42857055
2026/07/14,2368,1040,1070,955,1015,-30,6200585
2026/07/14,2383,5050,5160,4745,4970,-155,2516884
2026/07/14,6770,69,70.4,63.4,69.2,0.2,175281346
2026/07/14,TX,45046,45464,43852,44815,-750,126891
2026/07/15,2308,1930,1930,1865,1890,35,8792634
2026/07/15,2330,2425,2460,2415,2440,20,33665566
2026/07/15,2368,1040,1060,1015,1025,10,4764532
2026/07/15,2383,5055,5190,4995,5080,110,1340831
2026/07/15,6770,74,76.1,73.8,76.1,6.9,197628288
2026/07/15,TX,45353,45842,45033,45830,1040,30555
2026/07/16,2308,1865,1935,1820,1905,15,8661820
2026/07/16,2330,2430,2470,2420,2470,30,30538604
2026/07/16,2368,998,1010,981,1005,-20,3284092
2026/07/16,2383,4985,5030,4825,4990,-90,1350783
2026/07/16,6770,74.9,79.5,74.8,76.5,0.4,446262954
2026/07/16,TX,45519,46248,45191,45700,-366,70808
2026/07/17,2308,1820,1825,1735,1740,-165,14248513
2026/07/17,2330,2375,2395,2290,2290,-180,97362670
2026/07/17,2368,964,980,927,927,-78,5632652
2026/07/17,2383,4715,4835,4495,4495,-495,3166294
2026/07/17,6770,72.4,73.4,68.9,68.9,-7.6,273270140
2026/07/17,TX,44250,44512,42527,42725,-2966,103520
2026/07/20,2308,1695,1785,1665,1705,-35,11567901
2026/07/20,2330,2300,2345,2300,2320,30,55790346
2026/07/20,2368,936,947,875,927,0,5875440
2026/07/20,2383,4455,4560,4180,4395,-100,3220536
2026/07/20,6770,68.3,68.3,62.2,63,-5.9,179760556
2026/07/20,TX,43500,43500,42457,42641,37,85444
2026/07/21,2308,1735,1855,1720,1835,130,11082972
2026/07/21,2330,2350,2410,2345,2410,90,31605663
2026/07/21,2368,950,980,939,980,53,4609779
2026/07/21,2383,4605,4830,4560,4830,435,2947253
2026/07/21,6770,64,65.1,63,65.1,2.1,126328180
2026/07/21,TX,43297,44404,43197,44377,1715,61234
2026/07/22,2308,1920,1950,1870,1880,45,11813364
2026/07/22,2330,2440,2445,2385,2400,-10,31653123
2026/07/22,2368,1005,1010,938,940,-40,8073832
2026/07/22,2383,5210,5250,5045,5125,295,2287942
2026/07/22,6770,67.8,69.6,67.1,67.9,2.8,169362718
2026/07/22,TX,45000,45364,44613,44631,256,66011
2026/07/23,2308,1900,1945,1850,1880,0,6075442
2026/07/23,2330,2385,2405,2370,2405,5,28001492
2026/07/23,2368,949,958,930,941,1,5006114
2026/07/23,2383,5280,5280,5030,5095,-30,1471379
2026/07/23,6770,68.1,68.5,64.3,66,-1.9,117399235
2026/07/23,TX,45310,45339,44445,44930,285,54342
2026/07/24,2308,1850,1890,1785,1785,-95,7041974
2026/07/24,2330,2355,2365,2345,2350,-55,24810509
2026/07/24,2368,925,941,892,901,-40,4067807
2026/07/24,2383,5055,5055,4720,4755,-340,1978622
2026/07/24,6770,64.1,64.4,61.5,61.6,-4.4,152851625
2026/07/24,TX,44166,44499,43640,43905,-1007,69395
2026/07/27,2308,1755,1785,1695,1755,-30,9935415
2026/07/27,2330,2330,2365,2330,2350,0,28939466
2026/07/27,2368,905,907,874,895,-6,2619196
2026/07/27,2383,4825,4890,4640,4815,60,1443744
2026/07/27,6770,61.6,62.1,59,61.9,0.3,104654052
2026/07/27,TX,43888,44083,43176,43907,93,66041
2026/07/28,2308,1635,1655,1580,1580,-175,16516645
2026/07/28,2330,2270,2305,2270,2280,-70,45333029
2026/07/28,2368,851,851,809,809,-86,5667389
2026/07/28,2383,4420,4690,4400,4410,-405,2370592
2026/07/28,6770,57.5,58.1,55.8,55.8,-6.1,113517037
2026/07/28,TX,42569,42627,41516,41613,-2267,81786
2026/07/29,2308,1560,1595,1425,1495,-85,22356467
2026/07/29,2330,2260,2280,2180,2200,-80,68139691
2026/07/29,2368,805,813,729,729,-80,8159221
2026/07/29,2383,4380,4475,3985,4100,-310,3501983
2026/07/29,6770,55.1,55.2,50.3,50.4,-5.4,158698474
2026/07/29,TX,41915,42070,39442,40392,-1181,124405
2026/07/30,2308,1505,1625,1475,1530,35,22598605
2026/07/30,2330,2205,2260,2190,2205,5,51372177
2026/07/30,2368,717,779,705,721,-8,9520890
2026/07/30,2383,4005,4510,3930,4315,215,5459758
2026/07/30,6770,48,54.7,48,49.55,-0.85,192111911
2026/07/30,TX,40007,41266,39701,40270,-58,103235
2026/07/31,2308,1680,1680,1590,1640,110,31456334
2026/07/31,2330,2350,2425,2345,2425,220,69478145
